               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029513,            0.029809,           0.0063255,              0.7725,             0.64606,             0.71048,             0.44473,            0.037729,            0.026247,            0.012715,             0.07006,           0.0033267,           0.0033267
                   1,            0.033242,            0.030591,           0.0070788,             0.75009,             0.61393,             0.68555,              0.4079,            0.039327,            0.025846,            0.012883,            0.040016,           0.0066161,           0.0066161
                   2,            0.036469,            0.031497,           0.0087389,             0.67575,             0.58081,             0.62141,             0.36075,             0.04217,            0.026166,            0.015544,           0.0099278,           0.0098614,           0.0098614
                   3,            0.038564,            0.035213,            0.011636,             0.62754,             0.54421,             0.57634,              0.3204,            0.043304,            0.026844,            0.017738,            0.009802,            0.009802,            0.009802
                   4,            0.039579,            0.037191,            0.012944,             0.71025,              0.5423,             0.61613,             0.34732,            0.042071,            0.026498,            0.017175,            0.009802,            0.009802,            0.009802
                   5,            0.039478,            0.036967,            0.013948,             0.67187,              0.5592,             0.60472,             0.33671,            0.042147,            0.026696,            0.016986,            0.009736,            0.009736,            0.009736
                   6,            0.039032,            0.036954,            0.013356,             0.61497,             0.54126,             0.57619,             0.32364,            0.042922,            0.027192,            0.018177,             0.00967,             0.00967,             0.00967
                   7,            0.039788,            0.038147,            0.013483,             0.66337,              0.5412,             0.59905,             0.32736,            0.043117,            0.026784,            0.016022,            0.009604,            0.009604,            0.009604
                   8,            0.039584,            0.037231,             0.01305,             0.64996,             0.57296,             0.61598,             0.34152,             0.04265,            0.026076,            0.017196,            0.009538,            0.009538,            0.009538
                   9,            0.039072,            0.036473,            0.012661,             0.69209,             0.56441,             0.60606,             0.34178,            0.042333,            0.027696,            0.017147,            0.009472,            0.009472,            0.009472
                  10,            0.038999,            0.037307,             0.01287,             0.67842,             0.57202,             0.62706,             0.34982,            0.041887,            0.026538,            0.015913,            0.009406,            0.009406,            0.009406
                  11,            0.038749,            0.036035,            0.012557,             0.66367,             0.56019,             0.60654,             0.33952,             0.04243,            0.026775,              0.0164,             0.00934,             0.00934,             0.00934
                  12,            0.038793,            0.036742,            0.011732,             0.69163,             0.57213,             0.63007,             0.35977,             0.04199,            0.026077,            0.016839,            0.009274,            0.009274,            0.009274
                  13,            0.038235,            0.036802,            0.012076,             0.65469,             0.53105,             0.58202,              0.3367,            0.041686,            0.026764,            0.017363,            0.009208,            0.009208,            0.009208
                  14,            0.037912,             0.03658,            0.012401,               0.687,             0.56368,             0.62237,             0.35522,            0.041324,            0.026062,            0.016492,            0.009142,            0.009142,            0.009142
                  15,            0.037674,            0.035946,            0.011759,             0.66426,             0.57632,             0.62028,             0.35225,            0.041544,            0.026432,            0.016341,            0.009076,            0.009076,            0.009076
                  16,            0.037909,            0.035273,            0.011569,             0.68262,             0.57223,             0.62058,             0.35359,            0.041316,            0.026939,            0.015182,             0.00901,             0.00901,             0.00901
                  17,            0.037734,            0.035568,            0.010938,              0.6744,             0.60844,             0.64179,             0.36769,            0.041054,            0.026422,            0.015208,            0.008944,            0.008944,            0.008944
                  18,            0.037089,            0.035282,            0.011476,             0.69377,             0.60047,              0.6384,             0.37074,            0.041143,            0.026213,            0.015562,            0.008878,            0.008878,            0.008878
                  19,            0.037132,            0.034753,            0.010713,             0.68056,             0.59157,             0.63284,             0.36876,            0.041105,            0.026349,            0.015307,            0.008812,            0.008812,            0.008812
                  20,            0.036911,            0.034595,            0.010439,             0.68002,             0.59761,             0.63433,             0.37157,            0.040636,            0.026231,            0.015719,            0.008746,            0.008746,            0.008746
                  21,            0.036629,            0.034755,            0.010452,             0.70484,             0.57895,             0.64742,             0.37957,            0.040106,            0.025943,            0.014693,             0.00868,             0.00868,             0.00868
                  22,            0.036339,            0.034389,            0.010306,             0.72708,             0.58819,             0.65314,             0.38395,            0.040635,            0.026244,            0.014532,            0.008614,            0.008614,            0.008614
                  23,            0.036649,            0.034455,            0.010466,             0.71859,              0.5854,             0.64899,             0.37795,            0.040458,            0.026477,            0.014839,            0.008548,            0.008548,            0.008548
                  24,            0.036043,            0.034516,            0.010253,             0.68925,             0.58492,             0.63402,             0.36968,            0.040771,            0.026456,            0.015852,            0.008482,            0.008482,            0.008482
                  25,            0.036274,            0.034154,           0.0099991,             0.69433,             0.61175,             0.66065,             0.38445,            0.040612,            0.026356,            0.014932,            0.008416,            0.008416,            0.008416
                  26,            0.035601,            0.034031,           0.0099736,             0.72023,             0.59229,             0.65408,             0.38736,            0.041054,            0.026383,            0.014803,             0.00835,             0.00835,             0.00835
                  27,            0.035581,            0.033739,            0.010075,             0.72075,             0.58713,             0.64794,             0.37988,            0.041046,            0.026991,            0.015133,            0.008284,            0.008284,            0.008284
                  28,            0.035652,            0.034293,           0.0099067,              0.7122,             0.60018,             0.65458,             0.38971,            0.040748,            0.026459,            0.015563,            0.008218,            0.008218,            0.008218
                  29,            0.035384,            0.034166,           0.0097956,             0.68743,             0.61357,             0.65419,             0.38478,            0.040879,            0.026567,            0.015621,            0.008152,            0.008152,            0.008152
                  30,            0.035271,            0.033934,           0.0093828,             0.72668,             0.59194,             0.66024,             0.39821,            0.040576,             0.02674,            0.015212,            0.008086,            0.008086,            0.008086
                  31,            0.035335,            0.034177,           0.0093147,             0.71526,              0.6056,              0.6586,             0.39889,            0.040447,            0.026464,            0.015342,             0.00802,             0.00802,             0.00802
                  32,            0.035134,            0.033734,           0.0098645,             0.71684,             0.60776,             0.66234,             0.38644,            0.040406,            0.026508,            0.015254,            0.007954,            0.007954,            0.007954
                  33,            0.034777,            0.033402,           0.0097868,             0.68868,             0.60014,             0.64399,             0.38362,            0.040562,            0.026956,            0.015252,            0.007888,            0.007888,            0.007888
                  34,            0.034963,            0.033365,           0.0090262,             0.73252,             0.59396,             0.65963,             0.39426,            0.040158,            0.026193,            0.015592,            0.007822,            0.007822,            0.007822
                  35,            0.034794,             0.03235,            0.009304,             0.72085,             0.59895,             0.65128,             0.38883,            0.040096,            0.026911,            0.016516,            0.007756,            0.007756,            0.007756
                  36,            0.035002,            0.033797,           0.0090707,             0.72371,             0.58318,             0.64363,             0.38076,            0.040217,            0.026874,            0.015623,             0.00769,             0.00769,             0.00769
                  37,            0.034654,            0.032829,           0.0092714,             0.70059,             0.59849,             0.64123,             0.37929,            0.040469,            0.027265,            0.015673,            0.007624,            0.007624,            0.007624
                  38,            0.033992,            0.032713,           0.0083901,             0.71915,             0.58192,             0.64774,             0.39139,            0.040436,            0.026847,            0.015877,            0.007558,            0.007558,            0.007558
                  39,            0.034069,            0.032811,            0.008697,             0.72213,             0.61891,             0.66294,             0.39686,            0.040102,            0.026659,            0.015924,            0.007492,            0.007492,            0.007492
                  40,            0.033755,            0.032353,           0.0086201,             0.72591,             0.58865,             0.66469,             0.40294,            0.039828,            0.026519,            0.013754,            0.007426,            0.007426,            0.007426
                  41,            0.033649,              0.0323,           0.0085192,             0.71626,             0.61123,             0.65524,             0.39805,            0.040106,            0.026796,            0.015206,             0.00736,             0.00736,             0.00736
                  42,            0.033638,            0.032544,            0.008367,             0.71876,             0.61443,             0.66392,              0.4026,            0.039618,            0.026679,            0.014918,            0.007294,            0.007294,            0.007294
                  43,            0.033567,            0.032191,           0.0082195,             0.70088,             0.61813,             0.65916,             0.39019,            0.039794,            0.026851,            0.014522,            0.007228,            0.007228,            0.007228
                  44,            0.033363,            0.032408,            0.008471,             0.71577,               0.608,             0.65055,             0.39665,            0.039958,            0.026782,            0.014898,            0.007162,            0.007162,            0.007162
                  45,            0.033034,            0.031794,           0.0084331,             0.69823,               0.624,             0.66614,             0.40194,            0.039504,            0.026782,            0.014754,            0.007096,            0.007096,            0.007096
                  46,            0.033458,            0.031991,           0.0083744,             0.69497,             0.62187,             0.64581,             0.39274,            0.039515,            0.026615,            0.015891,             0.00703,             0.00703,             0.00703
                  47,            0.033313,             0.03124,           0.0080603,             0.71036,             0.61239,             0.66062,             0.40258,            0.039473,            0.026743,            0.014205,            0.006964,            0.006964,            0.006964
                  48,            0.033237,            0.031919,           0.0078428,             0.74127,             0.61063,             0.66718,             0.40828,            0.039793,            0.026956,            0.014382,            0.006898,            0.006898,            0.006898
                  49,            0.032551,            0.031175,           0.0079229,             0.72546,             0.63288,             0.67438,               0.418,             0.03974,            0.027104,            0.014176,            0.006832,            0.006832,            0.006832
