               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11746,             0.02461,                   0,           8.658e-05,            0.017544,          4.4427e-05,          8.8854e-06,             0.11404,            0.017948,                   0,            0.070811,           0.0032432,           0.0032432
                   1,             0.11335,            0.024202,                   0,          4.5045e-05,           0.0087719,          2.2783e-05,          4.5567e-06,             0.11334,            0.017817,                   0,            0.040746,           0.0065115,           0.0065115
                   2,             0.10834,            0.024075,                   0,          0.00013699,            0.026316,          7.5391e-05,            1.26e-05,             0.11201,            0.017616,                   0,            0.010615,           0.0097137,           0.0097137
                   3,             0.10675,            0.023141,                   0,             0.00101,           0.0087719,          0.00012705,          2.2873e-05,              0.1388,            0.024316,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.10515,            0.023158,                   0,                   0,                   0,                   0,                   0,              0.1435,            0.053753,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.10323,            0.022076,                   0,           8.357e-05,            0.017544,          4.4214e-05,          8.6847e-06,             0.14201,            0.021455,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.10004,            0.022267,                   0,          8.4438e-05,            0.017544,          4.8338e-05,          7.2791e-06,             0.13505,           0.0066837,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.097729,            0.020573,                   0,          0.00020833,             0.04386,          0.00014657,          4.1255e-05,             0.12817,           0.0094414,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.095729,            0.019876,                   0,          0.00033333,            0.070175,          0.00021241,           4.425e-05,             0.11288,            0.011581,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.093046,             0.02049,                   0,            0.000375,            0.078947,          0.00028174,          6.2593e-05,              0.1141,            0.010575,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.091905,            0.019189,                   0,              0.0005,             0.10526,          0.00080633,          0.00019677,             0.10356,            0.012521,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.092389,            0.019366,                   0,          0.00050075,             0.10526,          0.00033958,          9.5432e-05,            0.098478,            0.012498,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.090358,            0.018975,                   0,              0.0005,             0.10526,           0.0017373,          0.00030202,            0.095613,            0.013371,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.086062,            0.020666,                   0,             0.00075,             0.15789,           0.0013894,          0.00033286,            0.092468,            0.013369,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.084424,            0.019851,                   0,          0.00091667,             0.19298,           0.0021632,          0.00051168,             0.09303,            0.013147,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.08278,            0.019387,                   0,          0.00083333,             0.17544,           0.0074087,           0.0016108,            0.091982,            0.013193,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.080701,             0.01996,                   0,             0.00075,             0.15789,           0.0041634,          0.00053423,             0.09617,            0.013505,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.078163,            0.019074,                   0,          0.00079167,             0.16667,           0.0024594,          0.00061463,            0.095729,            0.013773,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.077642,            0.019684,                   0,           0.0010833,             0.22807,           0.0053446,           0.0015454,             0.09559,            0.014424,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.079102,            0.019496,                   0,            0.001125,             0.23684,            0.022397,           0.0038612,            0.091835,            0.013502,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.076623,            0.018791,                   0,            0.001188,             0.24561,            0.016715,           0.0054411,            0.090176,             0.01375,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.078307,            0.018841,                   0,           0.0015512,             0.19298,           0.0039328,          0.00098947,            0.096475,            0.014737,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.072526,            0.020322,                   0,             0.10289,             0.14912,            0.024231,           0.0075634,            0.090887,            0.013267,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.075662,            0.018785,                   0,            0.074174,            0.078947,            0.016432,           0.0028504,            0.093227,            0.014338,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.071975,            0.018407,                   0,             0.15267,              0.1391,            0.030763,           0.0085929,            0.089692,            0.014153,                   0,            0.007723,            0.007723,            0.007723
