               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084041,            0.040408,            0.067749,             0.41545,             0.17667,             0.17715,            0.073588,            0.057083,             0.02286,            0.043641,            0.070108,           0.0033213,           0.0033213
                   1,            0.058915,            0.034729,            0.040796,             0.43308,             0.44804,             0.36769,             0.16018,            0.054137,             0.02105,            0.028782,            0.040064,           0.0066107,           0.0066107
                   2,            0.058141,            0.032927,            0.029663,             0.45376,             0.44983,             0.40152,             0.18457,            0.054426,            0.022217,            0.024054,           0.0099765,           0.0098561,           0.0098561
                   3,            0.055274,            0.033949,            0.027444,             0.45228,             0.47482,             0.42629,             0.19355,            0.052799,            0.022378,            0.023449,            0.009802,            0.009802,            0.009802
                   4,             0.05299,            0.035549,            0.025232,              0.4765,             0.48179,             0.46225,             0.21268,            0.052649,             0.02264,             0.02187,            0.009802,            0.009802,            0.009802
                   5,            0.051952,            0.036055,            0.024571,             0.53186,             0.47789,             0.49473,             0.22586,            0.052517,            0.023068,            0.021401,            0.009736,            0.009736,            0.009736
                   6,            0.051682,            0.035712,            0.023256,             0.50604,             0.43361,             0.45238,              0.2084,            0.051148,            0.023288,            0.020631,             0.00967,             0.00967,             0.00967
                   7,             0.05038,            0.035417,            0.024796,             0.48865,             0.44121,             0.43213,             0.20059,             0.05083,            0.024025,            0.022351,            0.009604,            0.009604,            0.009604
                   8,            0.049922,            0.036173,            0.022648,             0.50778,              0.4656,             0.46039,              0.2197,            0.050292,            0.023623,             0.02104,            0.009538,            0.009538,            0.009538
                   9,            0.048973,            0.035764,            0.022162,             0.51377,             0.48175,             0.47767,             0.22096,             0.05019,            0.023847,            0.020441,            0.009472,            0.009472,            0.009472
                  10,            0.048269,            0.035485,            0.021224,             0.51934,             0.47681,             0.47136,             0.22672,            0.050846,            0.023617,            0.022138,            0.009406,            0.009406,            0.009406
                  11,             0.04822,             0.03483,            0.021178,             0.51805,             0.47334,             0.48382,             0.22199,            0.049864,            0.023306,            0.023533,             0.00934,             0.00934,             0.00934
                  12,            0.047662,              0.0347,            0.020899,             0.50996,             0.43861,             0.47249,             0.22147,            0.049663,            0.023344,            0.022685,            0.009274,            0.009274,            0.009274
                  13,            0.047165,            0.035799,            0.019243,              0.5837,             0.44307,             0.49414,             0.23027,            0.049987,             0.02366,            0.019753,            0.009208,            0.009208,            0.009208
                  14,            0.048246,            0.035396,            0.018862,             0.56838,             0.50575,             0.50326,             0.23607,            0.050752,            0.023645,            0.019975,            0.009142,            0.009142,            0.009142
                  15,            0.047384,            0.035356,            0.018924,             0.51079,             0.48134,             0.48661,             0.23029,             0.04968,            0.023372,            0.019984,            0.009076,            0.009076,            0.009076
                  16,            0.046678,            0.035073,            0.018967,             0.57856,             0.48966,             0.51381,              0.2485,            0.049135,            0.023159,            0.022532,             0.00901,             0.00901,             0.00901
                  17,            0.046452,            0.035048,            0.018056,             0.55608,             0.50757,             0.50353,             0.23747,             0.04911,            0.023251,            0.019908,            0.008944,            0.008944,            0.008944
                  18,            0.045578,             0.03433,            0.017656,             0.54847,             0.52286,             0.53047,             0.25676,            0.049685,            0.023263,            0.018427,            0.008878,            0.008878,            0.008878
                  19,            0.045734,            0.033856,            0.017526,             0.51267,             0.50368,             0.49591,               0.234,            0.049687,            0.023302,            0.022601,            0.008812,            0.008812,            0.008812
                  20,             0.04464,            0.033409,             0.01722,             0.57381,             0.50263,             0.51119,             0.25264,            0.050081,            0.022981,            0.022327,            0.008746,            0.008746,            0.008746
                  21,            0.045719,            0.034504,            0.016434,              0.5526,             0.52074,             0.52273,             0.25146,            0.047557,            0.023454,             0.02197,             0.00868,             0.00868,             0.00868
                  22,            0.044812,             0.03376,            0.015933,             0.57887,             0.50601,             0.51707,             0.25128,            0.048593,            0.023342,            0.019403,            0.008614,            0.008614,            0.008614
                  23,            0.044336,            0.033852,            0.014987,              0.5748,             0.50389,             0.53256,              0.2611,            0.047749,            0.023232,            0.018715,            0.008548,            0.008548,            0.008548
                  24,            0.043894,            0.033364,            0.014768,             0.55555,             0.53344,             0.53061,             0.25484,            0.048338,            0.023557,            0.019841,            0.008482,            0.008482,            0.008482
                  25,            0.043763,            0.033131,             0.01445,             0.59934,              0.4947,             0.53034,              0.2559,            0.048638,            0.023567,            0.019862,            0.008416,            0.008416,            0.008416
                  26,            0.043717,            0.032377,             0.01498,             0.61008,             0.50684,             0.53068,             0.26175,            0.049399,            0.023667,            0.019085,             0.00835,             0.00835,             0.00835
                  27,            0.043307,             0.03238,            0.013834,             0.61691,             0.50096,             0.53485,             0.26192,            0.048904,            0.023713,            0.019553,            0.008284,            0.008284,            0.008284
                  28,             0.04324,            0.032582,            0.014216,             0.60877,             0.50734,             0.53346,             0.26776,            0.047837,            0.023424,            0.019269,            0.008218,            0.008218,            0.008218
                  29,            0.042681,            0.033251,            0.013165,             0.60474,             0.53236,             0.54595,             0.27179,            0.048082,            0.023488,            0.019465,            0.008152,            0.008152,            0.008152
                  30,            0.042453,            0.031392,            0.013743,             0.61148,              0.5194,             0.54533,             0.26485,            0.047247,            0.023841,             0.01946,            0.008086,            0.008086,            0.008086
                  31,             0.04177,            0.032551,            0.012703,             0.59791,             0.54243,             0.54387,             0.27086,            0.047476,             0.02328,            0.020103,             0.00802,             0.00802,             0.00802
                  32,            0.041988,             0.03191,            0.013462,              0.6018,             0.51793,             0.54592,             0.26763,            0.047916,            0.023513,            0.019931,            0.007954,            0.007954,            0.007954
                  33,            0.040779,            0.032248,            0.012873,             0.60622,             0.56801,             0.56526,              0.2785,            0.047073,            0.023489,            0.017933,            0.007888,            0.007888,            0.007888
                  34,            0.041324,            0.032157,             0.01244,             0.57124,             0.53594,             0.53785,              0.2673,            0.048283,            0.023738,            0.019334,            0.007822,            0.007822,            0.007822
                  35,            0.041062,            0.031773,            0.012543,             0.58777,             0.54435,             0.54405,             0.27035,            0.048227,            0.023507,            0.018621,            0.007756,            0.007756,            0.007756
                  36,            0.041067,            0.031703,             0.01205,             0.63707,             0.52806,             0.55937,             0.28194,            0.047438,             0.02351,             0.01925,             0.00769,             0.00769,             0.00769
                  37,            0.040956,            0.031933,            0.012449,             0.59959,             0.58068,             0.57115,             0.27715,            0.047583,            0.022934,            0.017149,            0.007624,            0.007624,            0.007624
                  38,            0.040021,            0.030918,            0.011812,             0.62655,             0.53941,             0.56001,             0.28037,            0.047965,            0.023787,            0.018527,            0.007558,            0.007558,            0.007558
                  39,            0.040002,            0.030645,            0.011938,             0.58283,             0.54979,             0.55438,             0.27865,            0.047878,            0.023569,            0.018221,            0.007492,            0.007492,            0.007492
                  40,            0.039835,            0.031708,            0.011515,             0.56058,             0.54771,              0.5463,             0.27067,            0.047663,            0.023205,            0.018478,            0.007426,            0.007426,            0.007426
                  41,            0.039482,            0.030966,            0.011093,             0.57116,             0.55077,             0.55289,             0.28137,            0.048398,            0.023632,            0.018195,             0.00736,             0.00736,             0.00736
                  42,            0.039873,             0.03128,            0.011224,             0.57155,             0.53669,             0.53202,              0.2803,             0.04786,            0.024184,            0.018495,            0.007294,            0.007294,            0.007294
                  43,            0.039753,            0.030529,            0.011155,             0.66762,             0.53091,              0.5615,             0.28701,            0.048451,             0.02388,            0.019319,            0.007228,            0.007228,            0.007228
                  44,            0.039705,            0.030531,            0.011275,             0.60556,              0.5507,             0.55776,             0.28147,            0.048127,            0.023928,            0.018966,            0.007162,            0.007162,            0.007162
                  45,            0.039251,            0.030034,            0.011679,             0.62748,             0.54689,             0.55195,             0.26669,            0.047946,            0.024085,            0.018578,            0.007096,            0.007096,            0.007096
                  46,            0.039199,            0.031598,            0.010882,             0.64178,             0.58463,             0.58634,             0.29628,            0.047331,            0.023739,             0.01887,             0.00703,             0.00703,             0.00703
                  47,             0.03825,            0.030453,            0.010916,             0.60925,             0.51516,             0.54056,             0.27134,            0.047796,              0.0243,            0.022069,            0.006964,            0.006964,            0.006964
                  48,            0.038391,             0.03034,            0.010974,             0.60027,              0.5454,             0.55209,             0.28072,            0.048332,             0.02413,            0.020571,            0.006898,            0.006898,            0.006898
                  49,            0.038465,            0.030293,             0.01074,             0.64586,             0.55682,              0.5768,             0.30296,            0.048509,            0.023759,             0.02021,            0.006832,            0.006832,            0.006832
                  50,            0.038536,            0.030253,           0.0093009,             0.65469,             0.52898,             0.56212,             0.29054,            0.047813,            0.024089,            0.021517,            0.006766,            0.006766,            0.006766
                  51,            0.038668,            0.029568,           0.0098454,             0.60632,              0.5781,             0.59179,             0.29617,            0.047304,            0.023999,            0.019805,              0.0067,              0.0067,              0.0067
                  52,            0.037731,            0.029892,            0.010079,             0.60373,             0.58323,             0.58603,             0.29646,            0.047424,            0.023911,            0.020038,            0.006634,            0.006634,            0.006634
                  53,             0.03812,            0.029987,           0.0099337,              0.6109,             0.57488,             0.57525,             0.29681,            0.047986,            0.024176,            0.020648,            0.006568,            0.006568,            0.006568
                  54,            0.037364,            0.029372,           0.0099175,             0.57833,             0.54142,             0.53956,             0.27402,            0.048485,            0.024494,            0.022085,            0.006502,            0.006502,            0.006502
                  55,            0.036858,            0.029398,           0.0099368,             0.62464,             0.53741,             0.55631,             0.28477,            0.048126,            0.024693,            0.021584,            0.006436,            0.006436,            0.006436
                  56,            0.037497,            0.029319,             0.00917,             0.63041,             0.54794,             0.57086,             0.28594,            0.047617,            0.024594,            0.019667,             0.00637,             0.00637,             0.00637
                  57,            0.036253,            0.028661,           0.0091762,             0.65193,             0.54735,             0.56959,             0.29115,            0.048992,            0.024558,            0.020288,            0.006304,            0.006304,            0.006304
                  58,             0.03685,            0.028555,           0.0092076,             0.66534,             0.55319,             0.57476,             0.29909,             0.04862,            0.024528,            0.020904,            0.006238,            0.006238,            0.006238
                  59,            0.036539,            0.029416,            0.009349,             0.61122,              0.5394,             0.55111,             0.29023,            0.048076,            0.025314,            0.020101,            0.006172,            0.006172,            0.006172
                  60,             0.03648,            0.028522,           0.0088935,             0.58351,             0.57397,             0.56741,             0.29458,            0.048183,            0.024226,            0.021692,            0.006106,            0.006106,            0.006106
                  61,            0.036193,            0.029349,           0.0089868,             0.60656,             0.55821,             0.56253,             0.29028,            0.047573,            0.024434,            0.020028,             0.00604,             0.00604,             0.00604
                  62,            0.036465,            0.028719,           0.0099932,             0.61009,                0.56,             0.57745,             0.29713,             0.04809,            0.024541,            0.018776,            0.005974,            0.005974,            0.005974
